epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,780.594,1.41427,1.87918,1.29368,0.32961,0.32113,0.25619,0.1673,1.26884,1.89561,1.20414,0.000333143,0.000333143,0.0670189
2,1552.42,1.40818,1.87957,1.29309,0.32921,0.32572,0.25957,0.17,1.26713,1.88886,1.20335,0.000658978,0.000658978,0.0340114
3,2320.52,1.4113,1.88433,1.29319,0.33025,0.32737,0.25944,0.16807,1.28194,1.89116,1.2092,0.000977314,0.000977314,0.000996361
4,3085.9,1.42332,1.89797,1.29874,0.33091,0.31784,0.25671,0.16645,1.27377,1.89989,1.20654,0.00096625,0.00096625,0.00096625
5,3850.77,1.42347,1.89728,1.30155,0.32048,0.31332,0.24948,0.16106,1.28521,1.91997,1.20949,0.000955,0.000955,0.000955
6,4616.6,1.42562,1.90447,1.30087,0.32416,0.31417,0.24875,0.1595,1.3065,1.9283,1.21772,0.00094375,0.00094375,0.00094375
7,5380.34,1.4222,1.89965,1.29999,0.32547,0.31519,0.24753,0.16083,1.28642,1.91276,1.2131,0.0009325,0.0009325,0.0009325
8,6144.23,1.42102,1.8953,1.29829,0.31545,0.31839,0.24753,0.15946,1.28837,1.91701,1.21251,0.00092125,0.00092125,0.00092125
9,6909.37,1.4242,1.90305,1.29932,0.32174,0.31561,0.25065,0.16259,1.28266,1.91463,1.21028,0.00091,0.00091,0.00091
10,7673.44,1.42778,1.90181,1.3013,0.32493,0.31604,0.25274,0.16369,1.28598,1.91182,1.21149,0.00089875,0.00089875,0.00089875
11,8437.67,1.42231,1.89441,1.296,0.32658,0.31918,0.25617,0.1667,1.28245,1.89719,1.21073,0.0008875,0.0008875,0.0008875
12,9201.8,1.4196,1.89163,1.29598,0.32357,0.3222,0.25753,0.16614,1.28814,1.89545,1.21194,0.00087625,0.00087625,0.00087625
13,9964.91,1.42142,1.89566,1.29861,0.32239,0.3173,0.25269,0.16328,1.28567,1.90703,1.21415,0.000865,0.000865,0.000865
14,10728.4,1.42544,1.89781,1.30121,0.32706,0.31597,0.25463,0.16475,1.29621,1.90392,1.21508,0.00085375,0.00085375,0.00085375
15,11572.3,1.42076,1.89278,1.29626,0.32475,0.31953,0.2564,0.16665,1.28335,1.89461,1.20941,0.0008425,0.0008425,0.0008425
16,12419,1.41881,1.89263,1.29659,0.32795,0.32082,0.25944,0.16856,1.27182,1.88615,1.20596,0.00083125,0.00083125,0.00083125
17,13269.9,1.41975,1.89047,1.29894,0.32966,0.32129,0.25778,0.16804,1.27461,1.89405,1.21024,0.00082,0.00082,0.00082
18,14117.7,1.4193,1.88659,1.29563,0.32792,0.32311,0.25883,0.16833,1.27673,1.88601,1.20821,0.00080875,0.00080875,0.00080875
19,14965.3,1.41992,1.8864,1.29666,0.32796,0.32205,0.26046,0.16917,1.27327,1.88603,1.20755,0.0007975,0.0007975,0.0007975
20,15813,1.41843,1.88937,1.29607,0.33045,0.32259,0.26003,0.1691,1.27506,1.88339,1.2076,0.00078625,0.00078625,0.00078625
21,16663.4,1.42193,1.89086,1.29694,0.33258,0.31886,0.25937,0.16886,1.27294,1.88501,1.20658,0.000775,0.000775,0.000775
22,17511.9,1.41607,1.88537,1.29469,0.32982,0.32125,0.25834,0.16836,1.27163,1.88874,1.20586,0.00076375,0.00076375,0.00076375
23,18361.8,1.41357,1.88424,1.29244,0.33465,0.3193,0.25921,0.16871,1.27444,1.88307,1.20667,0.0007525,0.0007525,0.0007525
24,19213.1,1.41153,1.88035,1.29249,0.33243,0.32186,0.25913,0.16778,1.28247,1.88521,1.20837,0.00074125,0.00074125,0.00074125
25,20061.6,1.41403,1.88408,1.29653,0.33212,0.31985,0.26017,0.16912,1.27542,1.8822,1.20587,0.00073,0.00073,0.00073
26,20914.1,1.41034,1.88257,1.29239,0.33338,0.31929,0.25922,0.16887,1.27354,1.8826,1.20526,0.00071875,0.00071875,0.00071875
27,21763.8,1.41463,1.87995,1.2936,0.33578,0.31873,0.26066,0.16981,1.26972,1.88071,1.20384,0.0007075,0.0007075,0.0007075
28,22614,1.40882,1.87529,1.29099,0.33693,0.31908,0.26069,0.16984,1.27088,1.88037,1.20427,0.00069625,0.00069625,0.00069625
29,23460.7,1.41137,1.87527,1.29229,0.33753,0.31816,0.26035,0.16965,1.27119,1.87955,1.20448,0.000685,0.000685,0.000685
30,24281,1.40502,1.87079,1.29096,0.33678,0.31846,0.25994,0.16914,1.27279,1.88125,1.20497,0.00067375,0.00067375,0.00067375
31,25053.5,1.40501,1.87137,1.2902,0.33407,0.31604,0.25941,0.169,1.27411,1.88159,1.20479,0.0006625,0.0006625,0.0006625
32,25824.9,1.41232,1.87056,1.29082,0.33426,0.31528,0.26012,0.16929,1.2743,1.88082,1.20472,0.00065125,0.00065125,0.00065125
33,26595.6,1.40572,1.86566,1.28727,0.33481,0.31546,0.25993,0.16923,1.27458,1.8817,1.20472,0.00064,0.00064,0.00064
34,27366.9,1.40984,1.87086,1.29015,0.33078,0.31849,0.25967,0.16927,1.27515,1.8821,1.20467,0.00062875,0.00062875,0.00062875
35,28143.3,1.40728,1.86577,1.28955,0.33355,0.31648,0.25994,0.16921,1.27593,1.88308,1.20501,0.0006175,0.0006175,0.0006175
36,28919.3,1.41043,1.87272,1.29142,0.33285,0.31838,0.25999,0.16916,1.27664,1.88319,1.20519,0.00060625,0.00060625,0.00060625
37,29830,1.40225,1.8652,1.2884,0.33284,0.319,0.26009,0.16918,1.27668,1.88372,1.20546,0.000595,0.000595,0.000595
38,30709.3,1.40575,1.86908,1.28889,0.3324,0.31882,0.26006,0.16922,1.27702,1.88417,1.20553,0.00058375,0.00058375,0.00058375
39,31552.4,1.39768,1.86278,1.28477,0.33259,0.32003,0.25988,0.16927,1.27656,1.88403,1.20542,0.0005725,0.0005725,0.0005725
40,32396.2,1.40843,1.86301,1.28865,0.33038,0.32181,0.26009,0.16937,1.27672,1.88433,1.20565,0.00056125,0.00056125,0.00056125
41,33246.6,1.40028,1.86135,1.28547,0.33263,0.32139,0.26029,0.16942,1.27603,1.88442,1.20542,0.00055,0.00055,0.00055
42,34102.3,1.40128,1.86352,1.28483,0.3331,0.32138,0.26035,0.16947,1.2758,1.88448,1.20535,0.00053875,0.00053875,0.00053875
43,34932.5,1.39874,1.86039,1.28401,0.33316,0.3218,0.26035,0.16944,1.27553,1.88455,1.20522,0.0005275,0.0005275,0.0005275
44,35723.6,1.40017,1.85897,1.28636,0.33317,0.32173,0.26062,0.16956,1.27481,1.88423,1.20488,0.00051625,0.00051625,0.00051625
45,36503.7,1.39921,1.85804,1.28505,0.33318,0.32188,0.26067,0.16967,1.27434,1.88423,1.20469,0.000505,0.000505,0.000505
46,37281.5,1.39857,1.85766,1.28595,0.33362,0.32232,0.26079,0.16968,1.27374,1.88435,1.20441,0.00049375,0.00049375,0.00049375
47,38060.3,1.3978,1.85188,1.28361,0.3332,0.32143,0.26056,0.1696,1.27332,1.88461,1.20438,0.0004825,0.0004825,0.0004825
48,38836.1,1.4007,1.85688,1.28566,0.33254,0.32134,0.26057,0.16965,1.27308,1.88473,1.20428,0.00047125,0.00047125,0.00047125
49,39611.5,1.39692,1.85186,1.28391,0.33282,0.32141,0.26047,0.16962,1.27294,1.88476,1.20432,0.00046,0.00046,0.00046
50,40388.8,1.3962,1.85464,1.28559,0.33218,0.32094,0.26048,0.16957,1.27298,1.8849,1.2043,0.00044875,0.00044875,0.00044875
51,41187.4,1.39666,1.84964,1.28408,0.33348,0.31934,0.26051,0.16972,1.27299,1.8849,1.20432,0.0004375,0.0004375,0.0004375
52,41983,1.39408,1.85179,1.28438,0.33267,0.3208,0.26041,0.16965,1.27259,1.8852,1.20407,0.00042625,0.00042625,0.00042625
53,42762.2,1.394,1.84791,1.28293,0.33255,0.32076,0.26052,0.16972,1.27247,1.88509,1.20413,0.000415,0.000415,0.000415
54,43548.9,1.39469,1.85284,1.28524,0.33084,0.32237,0.26043,0.1698,1.27221,1.88517,1.20411,0.00040375,0.00040375,0.00040375
55,44338.8,1.39269,1.84598,1.2827,0.33181,0.32296,0.26048,0.16997,1.2718,1.88528,1.20396,0.0003925,0.0003925,0.0003925
56,45124.9,1.39472,1.85134,1.28331,0.3317,0.32274,0.26052,0.16998,1.27128,1.88542,1.20376,0.00038125,0.00038125,0.00038125
57,45914.7,1.39244,1.8434,1.28138,0.33145,0.32287,0.26064,0.17004,1.27091,1.88537,1.20354,0.00037,0.00037,0.00037
58,46700.3,1.39643,1.84525,1.2817,0.33211,0.32188,0.26084,0.1701,1.27064,1.88518,1.20344,0.00035875,0.00035875,0.00035875
59,47483.8,1.39074,1.84607,1.27967,0.33186,0.32181,0.26086,0.1702,1.27006,1.88513,1.20317,0.0003475,0.0003475,0.0003475
60,48269.2,1.38964,1.84274,1.27956,0.33214,0.3216,0.26091,0.17028,1.26942,1.88517,1.20285,0.00033625,0.00033625,0.00033625
61,49057.7,1.38982,1.84129,1.28105,0.33228,0.32151,0.26108,0.17038,1.26876,1.88526,1.20259,0.000325,0.000325,0.000325
62,49844.2,1.38685,1.83644,1.27833,0.3322,0.32106,0.26113,0.17042,1.26839,1.88538,1.20249,0.00031375,0.00031375,0.00031375
63,50633.4,1.38845,1.84131,1.27879,0.33296,0.32115,0.2611,0.17042,1.26813,1.88552,1.20239,0.0003025,0.0003025,0.0003025
64,51528.2,1.38973,1.84105,1.27898,0.33506,0.31993,0.2612,0.17049,1.26773,1.88561,1.20219,0.00029125,0.00029125,0.00029125
65,52359.2,1.38601,1.83514,1.27997,0.33471,0.3197,0.26107,0.17051,1.26769,1.88575,1.20223,0.00028,0.00028,0.00028
66,53198.5,1.38997,1.83762,1.28012,0.33496,0.31993,0.26085,0.1705,1.2677,1.88589,1.20226,0.00026875,0.00026875,0.00026875
67,54072.5,1.3892,1.8383,1.27839,0.33414,0.31957,0.26086,0.17054,1.26754,1.88573,1.20223,0.0002575,0.0002575,0.0002575
68,54924.8,1.38497,1.83902,1.27981,0.33323,0.32062,0.26079,0.17049,1.26747,1.88588,1.20215,0.00024625,0.00024625,0.00024625
69,55750.9,1.38576,1.83375,1.27708,0.33314,0.32046,0.26078,0.1706,1.26741,1.88615,1.20216,0.000235,0.000235,0.000235
70,56573.4,1.38895,1.83218,1.27739,0.33165,0.32204,0.26067,0.17052,1.26756,1.88643,1.20221,0.00022375,0.00022375,0.00022375
71,57398.4,1.37851,1.85733,1.3002,0.33256,0.32097,0.26091,0.17061,1.26675,1.88618,1.20193,0.0002125,0.0002125,0.0002125
72,58202.4,1.34959,1.826,1.28813,0.33245,0.32214,0.26109,0.17069,1.26537,1.88553,1.20141,0.00020125,0.00020125,0.00020125
73,59056.9,1.34335,1.81827,1.28313,0.33425,0.32024,0.26143,0.17093,1.264,1.88466,1.20091,0.00019,0.00019,0.00019
74,59875,1.34514,1.81332,1.2843,0.33386,0.32176,0.26155,0.17115,1.26247,1.88396,1.2002,0.00017875,0.00017875,0.00017875
75,60689.7,1.33609,1.80719,1.28038,0.33417,0.32155,0.26189,0.17139,1.26109,1.88314,1.1996,0.0001675,0.0001675,0.0001675
76,61475.1,1.33821,1.80257,1.2812,0.33611,0.31999,0.26206,0.17163,1.25962,1.8826,1.19893,0.00015625,0.00015625,0.00015625
77,62250.3,1.33788,1.80096,1.27995,0.33546,0.32122,0.2622,0.17191,1.25828,1.88185,1.19835,0.000145,0.000145,0.000145
78,63056.2,1.3327,1.79454,1.27962,0.33458,0.32261,0.26245,0.17206,1.25723,1.88111,1.19798,0.00013375,0.00013375,0.00013375
79,63822.6,1.33267,1.79641,1.27876,0.33663,0.32218,0.26282,0.17234,1.2563,1.88055,1.19766,0.0001225,0.0001225,0.0001225
80,64593.6,1.33182,1.7918,1.27799,0.33796,0.32081,0.26297,0.17252,1.25535,1.88031,1.19733,0.00011125,0.00011125,0.00011125
